Input_Size,Edges,M,R,Program,Time_ms
xlarge,500000,4,4,findsp,1426
xlarge,500000,4,4,findst,1479
xlarge,500000,4,8,findsp,1696
xlarge,500000,4,8,findst,1760
xlarge,500000,8,1,findsp,439
xlarge,500000,8,1,findst,569
xlarge,500000,8,2,findsp,1128
xlarge,500000,8,2,findst,1205
xlarge,500000,8,4,findsp,1395
xlarge,500000,8,4,findst,1513
xlarge,500000,8,8,findsp,1593
xlarge,500000,8,8,findst,1816
xlarge,500000,16,1,findsp,424
xlarge,500000,16,1,findst,496
xlarge,500000,16,2,findsp,1122
xlarge,500000,16,2,findst,1185
xlarge,500000,16,4,findsp,1432
xlarge,500000,16,4,findst,1549
xlarge,500000,16,8,findsp,1588
xlarge,500000,16,8,findst,1872
